Engine speed,Engine load,Railpressure,Air supply,Crank angle,Intake pressure,Back pressure,Intake temperature,NOx,PM 1,CO2,Pressure cylinder
700,7.33,500.9,78.3753,1.91,967.5,1027.3,65.5,17.97783767,0.151138732,2.891628361,44.94630187
700,25.85,577.6,118.0673,0.94,1017.6,1063.8,53.4,30.61378751,0.421431758,10.97631176,55.88577777
700,46.67,615.8,144.3557,2.86,1086.7,1156.2,47.9,109.1998061,0.767394738,18.84449555,73.02976086
700,69.55,778.3,174.1779,2.22,1171.1,1215.1,42.7,186.4067291,0.658504676,27.73976457,86.3221033
700,94.33,900.1,213.3148,-1.72,1313.3,1305.9,38.3,315.4301799,0.773289351,39.26986462,93.84214145
800,13,630.6,103.4821,2.63,1001,1064.1,60.5,21.48575804,0.288466892,5.767598431,49.44455919
800,32.48,793.4,135.7269,1.7,1011.6,1045.6,53.2,42.51801814,0.630792522,15.19772025,59.28122459
800,54,929.1,170.9657,1.42,1080.8,1096.9,45.9,149.9624817,0.804237463,24.98077118,73.68607427
800,78.21,1069.1,214.9532,-2.03,1254.1,1250.3,41.8,232.4214724,0.982676889,35.02665091,81.9704101
800,101.8,1081.4,264.3645,-3.07,1462.9,1408.5,39.3,398.9763909,0.714433627,49.82336979,93.58462831
900,7.36,637.4,104.7771,3.4,984.7,1063.6,61.7,22.09589738,0.198485384,3.681899829,45.77107147
900,25.96,895.9,128.6418,2.47,974.8,1029.3,58.6,35.58893364,0.471130274,13.47677706,57.43578893
900,47.27,1135.9,170.8247,0.58,1017.3,1034.4,48.6,74.21038951,1.066221915,23.70864771,64.50948257
900,70.32,1275.7,224.127,-1.8,1198.5,1177.2,43.7,208.2439797,1.306811002,37.12899246,74.56039921
900,94.24,1288.6,282.0735,-4.54,1476.5,1412.7,42.8,241.2741276,1.134603522,48.84062745,83.87264136
900,115.59,1197.3,339.4152,-2.87,1682.9,1553.9,40.3,363.1309659,0.803658036,60.53876085,101.5061541
900,130.85,1093.3,377.0602,-2.19,1809.5,1606.5,39.2,703.8246607,0.600790586,67.05085199,108.0904928
1000,19.62,916.6,126.0233,3.75,1001.3,1083.3,64,25.00985567,0.489477308,11.21263513,54.0411035
1000,40.26,1272.1,162.3273,0.67,985.9,1019.1,55,56.18858983,0.725452018,22.09242689,60.37245318
1000,63.6,1468.8,227.945,-2.23,1130.3,1115.7,45.5,177.1848453,1.516642847,36.63961961,70.06265235
1000,87.22,1500.3,294.3291,-5.63,1456.2,1385.2,46.5,200.0711634,1.623372301,50.05631239,74.61312365
1000,108.18,1419.4,357.3008,-3.88,1717.3,1588.2,46.3,373.10866,1.465659647,61.62991225,92.24933418
1000,129.96,1266.3,419.5676,-2.3,1919.6,1713.1,43.4,465.211587,0.996471854,76.01429832,107.390162
1000,145.38,1174.8,463.6732,-1.99,2060.5,1793.2,41.7,639.8263142,0.999684317,78.57559862,116.7186838
1100,19.71,1013.2,141.4924,3.78,1003.3,1092.3,64.7,26.38140738,0.511263883,12.46188128,50.62759053
1100,40.55,1397,180.5255,0.46,998.4,1041.7,55.5,61.28721541,0.781929933,25.33200033,59.93665404
1100,64.16,1635.8,249.5842,-2.91,1163.1,1148.6,47.9,140.4302327,2.09291028,39.79744304,67.50790692
1100,87.53,1707,322.8809,-5.76,1503.6,1420.2,49.3,160.0472264,2.135613454,53.03672587,75.05543754
1100,108.26,1613.4,395.337,-4.21,1789.4,1641.9,49.4,289.8783766,1.545124941,69.73808905,92.21930598
1100,129.85,1459.5,458.9207,-2.54,2028.6,1810,49.1,467.8129222,1.661642449,84.01557766,107.4544086
1200,14.08,962.3,142.5829,3.92,1008.7,1119,68.6,23.76640493,0.699175824,9.402168113,50.0280479
1200,33.38,1328,183.1649,1.89,1002.7,1070.2,59,40.60097261,0.651538733,23.42389263,55.78952333
1200,56.41,1666.5,246.4392,-1.9,1126.9,1131.6,50.8,91.89246325,2.395785785,39.29938483,63.24686803
1200,81.06,1875.3,324.2888,-5.63,1442.5,1378.5,51.1,130.5395266,2.371053692,55.39085053,67.09216577
1200,102.13,1835,406.5563,-5.12,1770.3,1642.9,52.3,200.8489291,2.876964134,74.96107248,85.06673074
1200,123.41,1693.2,478.0289,-3.26,2044.1,1845.6,52.5,304.9958473,2.21875135,84.63138422,101.2810333
1200,143.34,1586,549.8148,-1.67,2330.8,2073.1,54,381.6186109,1.922705021,98.68514225,116.518847
1300,20.43,1130.2,171.1949,3.86,1037.4,1149.1,67,26.46990389,0.460298494,14.80976352,52.63502152
1300,41.21,1498.8,221.8717,1.06,1038.9,1094.1,55.9,62.64889195,1.376659086,31.84869858,59.53188105
1300,64.88,1798.9,297.1093,-2.89,1252,1236.5,52,84.29989413,3.417578203,48.34347078,66.03415296
1300,89.07,2010.1,384.8992,-5.97,1597.3,1528.1,53.2,134.1714004,3.245076617,65.66739757,74.54426562
1300,110.09,1919,474.2818,-4.65,1942.1,1816.1,54.7,166.9375793,2.292711155,80.55009648,97.58744041
1300,131.41,1812.4,543.9901,-2.95,2218.2,2037.1,56.2,289.7393012,2.041677028,99.02133842,105.5631425
1400,8.93,967.2,168.8364,4.87,1036.6,1169,70.4,34.61560758,0.232541297,7.092658569,49.53687637
1400,27.2,1280.1,204.2903,3.78,1047.3,1150,63.3,41.90698672,0.760243203,22.40993171,54.66871538
1400,49.1,1593,267.331,0.5,1111.4,1153.9,54.5,94.23298922,2.832921076,38.50904743,59.95670657
1400,73.39,1887.8,358.3535,-3.64,1404.1,1379.6,52.9,121.8010212,3.055122458,59.06122538,68.07120055
1400,97.08,2025.8,451.0442,-5.14,1775.5,1713.9,56,125.6448,2.205668593,76.37898285,86.90866635
1400,116.71,2003.3,549.0852,-3.35,2154.1,2050.5,58,206.3540669,2.349469627,93.9650452,104.405256
1400,137.41,1936.1,617.4073,-1.21,2446.2,2313.1,60.8,335.2807401,3.596918088,107.9791745,116.3777544
1500,9.43,1040.7,175.131,5.75,1037.5,1187.1,72.7,32.98559678,0.283070493,7.882327425,51.00477564
1500,27.5,1280.3,222.0219,4.8,1055.5,1166.1,63.6,32.1581315,1.094718423,23.30218403,55.96918584
1500,49.24,1586.1,295.3811,1.44,1141,1189.7,54.9,77.22129437,2.876321576,41.4956759,61.29529108
1500,73.63,1875.2,398.3555,-3,1466.6,1460.1,54.1,144.3141807,3.244297858,63.07336515,71.47676076
1500,96.87,2034.1,502.1795,-4.23,1889.5,1867.6,58.6,178.2967856,2.840464652,84.57026129,89.91157128
1500,115.82,2104.6,603.9273,-2.08,2289.4,2246.7,61.7,177.6840092,2.980148323,102.899468,117.1849622
1500,136.17,2067.4,675.5218,0.07,2597.9,2540.4,65.2,255.9126534,2.922685238,117.1972451,127.7535327
1600,9.86,1107.4,201.4158,6.21,1057.7,1208.5,71.4,42.44052836,0.259292939,8.955223047,52.07815447
1600,28.02,1296.7,236.4013,5.8,1068.4,1192.5,64.5,38.8866096,1.471725831,25.87732248,57.57352675
1600,73.35,1898.7,440.3396,-1.89,1501.7,1502.5,53.9,132.0575825,3.425840643,68.10522139,75.59963142
1600,96.41,2061.2,559.3143,-3.25,1967.2,1965.7,59.1,227.2010755,1.86317054,87.61611006,96.87889093
1600,115.45,2181,655.3975,-0.89,2359.4,2361.1,63.7,302.992452,2.200119703,104.2009471,116.951406
1600,135.17,2195.4,740.8542,1.39,2712.3,2711.7,68.1,330.6336927,2.385972237,127.1460152,141.6491315
1700,10.25,1165,245.5282,6.43,1082.8,1216.5,67.3,55.85329251,0.313320497,9.562500176,52.0237614
1700,28.33,1346.2,262.9306,6.02,1088.4,1215,63.3,43.34214777,1.661251713,27.32048846,59.17341338
1700,73.59,2021.3,470.1395,-0.74,1506,1517,54.2,177.8702509,2.981342659,72.55160571,76.80526541
1700,96.58,2192.1,589.233,-1.76,1978.7,2010.5,60.8,187.1987054,2.892977749,92.99648375,101.0710847
1700,115.23,2290.5,703.2143,0.7,2446.7,2505.9,67.1,205.8740001,1.890467558,106.661501,116.0534307
1700,135.93,2298.3,793.9227,2.31,2792.6,2846.2,71.7,269.5846153,4.134867394,132.3540374,138.6744672
1800,16.54,1317.1,269.6929,6.25,1108.4,1255.8,65.7,50.60141134,0.537152591,16.30250993,53.86597595
